n_train,n_test,n_countries,LASSO_test_r2,LASSO_test_rmse,Ridge_test_r2,Ridge_test_rmse,Elastic Net_test_r2,Elastic Net_test_rmse,Random Forest_test_r2,Random Forest_test_rmse,b
1008,270,32,0.6945611626876049,0.574111395549448,0.6991103507546218,0.5698199658604018,0.6942901173103071,0.5743660713046616,0.8594399998235003,0.3894618413713725,75
1015,275,34,0.6730938264075442,0.5364107793639425,0.7044470573357069,0.5100392275119141,0.6769786381642704,0.5332140167461557,0.777187294990438,0.4428492474448283,76
946,255,33,0.7333666270643807,0.5155720715926116,0.7381007977963843,0.5109744891601119,0.7345551444770286,0.5144217077896523,0.7356484291124608,0.513361243383592,77
907,235,31,0.6292184284896196,0.5296480807397732,0.6270629528819387,0.5311853593209164,0.6306364202296155,0.528634335598472,0.6002957103960045,0.5499177489412821,78
1094,295,34,0.7026300644538759,0.49800656826286527,0.7412865695051833,0.4645110276292884,0.7079613660091519,0.49352220268200403,0.7825225470305277,0.42588629077259005,79
895,245,36,0.7462011703309728,0.48336896138182883,0.7570187525217116,0.4729555549731641,0.7448599539542025,0.48464447578148206,0.7949295675522207,0.43449569283730927,80
856,240,32,0.6681061600465334,0.4792362186642,0.6876709830684162,0.4648964222709042,0.6689595667423816,0.4786196862155264,0.6987510711435492,0.45657569885756427,81
1084,290,34,0.7009669257480885,0.5441183513642397,0.6989573366479147,0.5459436066061077,0.7046470799107678,0.5407597955349414,0.7695407637559563,0.47767313847457393,82
1111,300,37,0.6911830138697321,0.5178201265218515,0.6928931284260627,0.5163843876879027,0.6913071995665085,0.5177159996080284,0.7150844433208156,0.49737782377965156,83
1018,275,31,0.6505438298253121,0.560023818102931,0.6439761454031758,0.5652618696126595,0.6501444510685177,0.5603437405545282,0.6921067954892209,0.5256663700259979,84
850,235,31,0.8017565737190331,0.4061217544442524,0.7752034253785164,0.4324657325132811,0.7971188461035716,0.41084471931815614,0.7659114879783343,0.4413131887639193,85
880,240,32,0.766924371315642,0.5347226863156862,0.781016833726746,0.5183051729087589,0.7684324953626802,0.5329899077981147,0.819703636873585,0.4702985730393697,86
1012,275,39,0.7875836136763703,0.5280873060239079,0.7846649657467438,0.5317029464166602,0.7875266908422238,0.5281580590695152,0.8223744026113763,0.4829081064513558,87
918,250,37,0.7574587694617679,0.5158683525393652,0.7667689866744458,0.50587037508686,0.7576752858592911,0.5156380434586096,0.8290373559136355,0.43310850317539185,88
873,235,34,0.7577966616168139,0.5192273474525375,0.7503275415012101,0.5271725822119713,0.7574826582305274,0.5195638133696309,0.848281253600301,0.41094823435423256,89
954,255,30,0.5669912757531823,0.5600829494719134,0.5751740925101867,0.5547656023968637,0.5673783634066928,0.5598325507426227,0.5909650721465021,0.5443575184440875,90
851,225,31,0.5628535619435884,0.6616713336950296,0.5762603617593269,0.651445957381557,0.5655884840125696,0.659598276879999,0.6652362338803512,0.5790260064897403,91
903,245,35,0.7297016336485247,0.49587172772797533,0.7255208976467507,0.4996918653787665,0.7303748364116964,0.4952538358503523,0.7672879677676889,0.4601051098830855,92
976,265,30,0.7672181392556832,0.46130817255440487,0.7700019547466583,0.4585415064590601,0.7675071951390882,0.4610216698573718,0.7921611698260936,0.4358930309716551,93
961,260,34,0.7891316946657703,0.5116619948918831,0.7890425555861342,0.5117701293510738,0.7901973129297793,0.5103675211992641,0.8475376626098567,0.43506965424567406,94
